Movie,Model,Precision,Recall,F1-score,Weighted Precision,Weighted Recall,Weighted F1-score,nDCG@5,Semantic Precision,Semantic Recall,Semantic F1-score
Parasite,base,0.9003,0.3598,0.5142,0.9071,0.1722,0.2895,0.7275,0.585,0.6953,0.6354
Parasite,metadata,0.9053,0.3618,0.517,0.9099,0.2047,0.3343,0.7408,0.5694,0.7091,0.6316
SW_Episode9,base,0.9167,0.3629,0.52,0.9192,0.1698,0.2867,0.7199,0.6369,0.6175,0.6271
SW_Episode9,metadata,0.9235,0.3656,0.5238,0.9273,0.1919,0.318,0.7301,0.6262,0.6252,0.6257
SW_Episode8,base,0.8951,0.3662,0.5198,0.9087,0.1715,0.2886,0.7153,0.652,0.618,0.6346
SW_Episode8,metadata,0.9063,0.3708,0.5263,0.9165,0.1928,0.3186,0.7294,0.6386,0.6197,0.629
HarryPotter,base,0.9194,0.3394,0.4957,0.9202,0.1594,0.2717,0.7148,0.5017,0.5479,0.5238
HarryPotter,metadata,0.9274,0.3423,0.5001,0.9262,0.195,0.3221,0.7277,0.619,0.6013,0.6101
LaLaLand,base,0.8917,0.3193,0.4702,0.9063,0.1535,0.2625,0.7152,0.3802,0.4586,0.4157
LaLaLand,metadata,0.9131,0.3269,0.4815,0.9234,0.1812,0.303,0.733,0.3517,0.4793,0.4057
IndianaJones,base,0.9125,0.3678,0.5243,0.9176,0.1808,0.3021,0.7459,0.4296,0.4779,0.4525
IndianaJones,metadata,0.9125,0.3678,0.5243,0.919,0.2135,0.3465,0.7477,0.3969,0.4669,0.4291
SW_Episode5,base,0.9072,0.3721,0.5277,0.9203,0.189,0.3136,0.7158,0.6227,0.5188,0.566
SW_Episode5,metadata,0.9165,0.3759,0.5331,0.9249,0.2251,0.3621,0.7357,0.6126,0.5391,0.5735
SW_Episode4,base,0.903,0.3709,0.5259,0.9205,0.1782,0.2987,0.7376,0.3329,0.5431,0.4128
SW_Episode4,metadata,0.9117,0.3745,0.5309,0.9299,0.216,0.3505,0.7416,0.3069,0.5431,0.3922
SW_Episode6,base,0.9199,0.3577,0.5151,0.9155,0.1789,0.2993,0.6973,0.6736,0.489,0.5666
SW_Episode6,metadata,0.9206,0.358,0.5155,0.9181,0.2085,0.3398,0.7169,0.6434,0.5074,0.5673
SW_Episode7,base,0.8964,0.3609,0.5147,0.9146,0.1696,0.2862,0.7296,0.6136,0.6263,0.6199
SW_Episode7,metadata,0.91,0.3664,0.5224,0.919,0.1871,0.3109,0.7478,0.5781,0.6744,0.6226
Oppenheimer,base,0.9384,0.3207,0.4781,0.947,0.1567,0.2689,0.7611,0.6916,0.6294,0.659
Oppenheimer,metadata,0.9444,0.3228,0.4811,0.9505,0.1764,0.2976,0.7689,0.6751,0.6485,0.6615
SW_Episode3,base,0.9185,0.3386,0.4948,0.9327,0.1629,0.2774,0.7096,0.6396,0.6023,0.6204
SW_Episode3,metadata,0.9289,0.3425,0.5004,0.935,0.184,0.3074,0.722,0.6431,0.5124,0.5704
GoodBadUgly,base,0.9341,0.3612,0.521,0.9352,0.1717,0.2902,0.7323,0.4179,0.5404,0.4713
GoodBadUgly,metadata,0.9378,0.3627,0.5231,0.9363,0.2052,0.3367,0.7391,0.3999,0.528,0.4551
SW_Episode2,base,0.9166,0.345,0.5013,0.9295,0.1604,0.2735,0.7218,0.4325,0.6062,0.5048
SW_Episode2,metadata,0.9306,0.3503,0.509,0.9311,0.1911,0.3171,0.7356,0.4168,0.6192,0.4982
SW_Episode1,base,0.9005,0.3608,0.5152,0.905,0.1683,0.2838,0.7058,0.4846,0.6171,0.5429
SW_Episode1,metadata,0.9078,0.3638,0.5194,0.914,0.2002,0.3285,0.7188,0.4526,0.6146,0.5213
