Movie,Model,Weighted Precision,Weighted Recall,Weighted F1-score,nDCG@5
Parasite,base,0.9071,0.1722,0.2895,0.7275
Parasite,reranker,0.9153,0.1482,0.2551,0.7248
SW_Episode9,base,0.9192,0.1698,0.2867,0.7199
SW_Episode9,reranker,0.9285,0.1621,0.276,0.7206
SW_Episode8,base,0.9087,0.1715,0.2886,0.7153
SW_Episode8,reranker,0.9159,0.167,0.2825,0.7169
HarryPotter,base,0.9202,0.1594,0.2717,0.7148
HarryPotter,reranker,0.926,0.147,0.2538,0.7135
LaLaLand,base,0.9063,0.1535,0.2625,0.7152
LaLaLand,reranker,0.9161,0.1418,0.2456,0.7215
IndianaJones,base,0.9176,0.1808,0.3021,0.7459
IndianaJones,reranker,0.9215,0.1574,0.2689,0.7492
SW_Episode5,base,0.9203,0.189,0.3136,0.7158
SW_Episode5,reranker,0.925,0.1602,0.2731,0.7196
SW_Episode4,base,0.9205,0.1782,0.2987,0.7376
SW_Episode4,reranker,0.926,0.1617,0.2753,0.7405
SW_Episode6,base,0.9155,0.1789,0.2993,0.6973
SW_Episode6,reranker,0.919,0.1642,0.2786,0.7023
SW_Episode7,base,0.9146,0.1696,0.2862,0.7296
SW_Episode7,reranker,0.9261,0.1715,0.2893,0.7314
Oppenheimer,base,0.947,0.1567,0.2689,0.7611
Oppenheimer,reranker,0.9491,0.1451,0.2517,0.7584
SW_Episode3,base,0.9327,0.1629,0.2774,0.7096
SW_Episode3,reranker,0.9413,0.1593,0.2725,0.7124
GoodBadUgly,base,0.9352,0.1717,0.2902,0.7323
GoodBadUgly,reranker,0.9439,0.1526,0.2628,0.7369
SW_Episode2,base,0.9295,0.1604,0.2735,0.7218
SW_Episode2,reranker,0.9329,0.1541,0.2645,0.7202
SW_Episode1,base,0.905,0.1683,0.2838,0.7058
SW_Episode1,reranker,0.9098,0.1643,0.2783,0.702
