Movie,Model,Precision,Recall,F1-score,Weighted Precision,Weighted Recall,Weighted F1-score,Semantic Precision,Semantic Recall,Semantic F1-score,Avg Sentiment Similarity,Review-wise Sampled Similarity
GoodBadUgly,base,0.9341,0.3612,0.521,0.9352,0.4857,0.6394,0.8691,0.7888,0.827,0.9321,0.6641
GoodBadUgly,sentiment,0.9074,0.3391,0.4937,0.9104,0.4481,0.6006,0.7477,0.8043,0.775,0.96,0.6825
HarryPotter,base,0.9194,0.3394,0.4957,0.9202,0.4552,0.6091,0.9016,0.882,0.8917,0.9694,0.8925
HarryPotter,sentiment,0.9023,0.3251,0.4779,0.9043,0.4348,0.5873,0.8966,0.8976,0.8971,0.9623,0.8867
IndianaJones,base,0.9125,0.3678,0.5243,0.9176,0.4902,0.639,0.9628,0.7978,0.8726,0.9485,0.9214
IndianaJones,sentiment,0.8805,0.3385,0.489,0.8955,0.4489,0.5981,0.9616,0.8162,0.883,0.9621,0.9344
LaLaLand,base,0.8917,0.3193,0.4702,0.9063,0.4422,0.5943,0.8537,0.7759,0.8129,0.9526,0.9526
LaLaLand,sentiment,0.8928,0.3126,0.4631,0.8962,0.4212,0.5731,0.7331,0.7897,0.7604,0.9459,0.9463
Oppenheimer,base,0.9384,0.3207,0.4781,0.947,0.4611,0.6202,0.9905,0.8556,0.9181,0.9492,0.9492
Oppenheimer,sentiment,0.9247,0.309,0.4632,0.9219,0.4328,0.5891,0.8451,0.9428,0.8913,0.9458,0.9456
Parasite,base,0.9003,0.3598,0.5142,0.9071,0.4748,0.6234,0.9527,0.9086,0.9301,0.9437,0.9438
Parasite,sentiment,0.8855,0.3423,0.4938,0.8869,0.4505,0.5975,0.9499,0.9114,0.9302,0.942,0.9405
SW_Episode1,base,0.9005,0.3608,0.5152,0.905,0.4816,0.6287,0.8968,0.8293,0.8617,0.8768,0.7767
SW_Episode1,sentiment,0.8597,0.3354,0.4826,0.8689,0.4448,0.5884,0.9318,0.8634,0.8963,0.9028,0.7985
SW_Episode2,base,0.9166,0.345,0.5013,0.9295,0.4709,0.6251,0.8875,0.8342,0.86,0.8873,0.7535
SW_Episode2,sentiment,0.897,0.3277,0.48,0.9072,0.4437,0.596,0.8973,0.842,0.8687,0.9022,0.7636
SW_Episode3,base,0.9185,0.3386,0.4948,0.9327,0.4634,0.6192,0.9489,0.8547,0.8993,0.8954,0.7983
SW_Episode3,sentiment,0.8932,0.3219,0.4732,0.9077,0.4287,0.5823,0.9703,0.8566,0.9099,0.9155,0.8166
SW_Episode4,base,0.903,0.3709,0.5259,0.9205,0.4966,0.6452,0.9679,0.7234,0.8279,0.8975,0.7077
SW_Episode4,sentiment,0.8733,0.3463,0.496,0.8908,0.4551,0.6025,0.9771,0.736,0.8396,0.9216,0.727
SW_Episode5,base,0.9072,0.3721,0.5277,0.9203,0.4873,0.6372,0.9032,0.8145,0.8566,0.888,0.8338
SW_Episode5,sentiment,0.8876,0.355,0.5071,0.904,0.4636,0.6129,0.8398,0.8667,0.853,0.927,0.8701
SW_Episode6,base,0.9199,0.3577,0.5151,0.9155,0.4677,0.6191,0.9296,0.75,0.8302,0.9112,0.9112
SW_Episode6,sentiment,0.866,0.3289,0.4767,0.8914,0.4416,0.5906,0.8823,0.7831,0.8297,0.924,0.9239
SW_Episode7,base,0.8964,0.3609,0.5147,0.9146,0.4898,0.6379,0.9915,0.7651,0.8637,0.8968,0.8458
SW_Episode7,sentiment,0.8713,0.3445,0.4937,0.8868,0.4532,0.5999,0.9239,0.9253,0.9246,0.8877,0.8379
SW_Episode8,base,0.8951,0.3662,0.5198,0.9087,0.4863,0.6336,0.9767,0.8659,0.9179,0.8916,0.7625
SW_Episode8,sentiment,0.8714,0.3483,0.4977,0.8904,0.4604,0.6069,0.9711,0.9015,0.935,0.8611,0.7374
SW_Episode9,base,0.9167,0.3629,0.52,0.9192,0.4781,0.6291,0.9791,0.8786,0.9262,0.9038,0.8088
SW_Episode9,sentiment,0.8897,0.3453,0.4975,0.9005,0.4524,0.6023,0.9812,0.9017,0.9398,0.9004,0.8052
