Review_ID,Movie_Title,Keyword_1,Score_1,Keyword_2,Score_2,Keyword_3,Score_3,Keyword_4,Score_4,Keyword_5,Score_5
9637661,Parasite,movie life suck,0.4665,make great movie,0.4655,movie life,0.4507,film try hard,0.4437,movie trash,0.4314
5510542,Parasite,suspense drama tragedy,0.678,tragedy movie message,0.6364,suspense drama,0.6342,drama tragedy,0.6319,comedy thrill horror,0.6043
5182892,Parasite,parkwhen ask minhyuk,0.4246,housekeeper gook moongwang,0.4036,minhyuk park seojoon,0.3923,wooshik daughter kiwoo,0.384,family choi,0.3799
5499682,Parasite,expect movie normally,0.6588,expect movie,0.6539,oscar deserve expect,0.6226,film nominate oscar,0.6174,film nominate,0.5881
6094155,Parasite,location perfect screenplay,0.7435,screenplay like location,0.7306,good act cinematography,0.6985,cinematography twist screenplay,0.6694,act cinematography twist,0.6543
6432630,Parasite,movie end mix,0.8066,like movie end,0.7424,end mix like,0.6497,movie end,0.6324,end mix,0.6255
8575840,Parasite,genre practically rule,0.4379,originality parasite,0.4133,film define genre,0.3941,world originality parasite,0.3926,originality parasite father,0.3884
5479460,Parasite,boring nominate release,0.609,vote oscar blindly,0.5723,people vote oscar,0.5717,predictable boring nominate,0.5638,vote oscar,0.5608
5455102,Parasite,innocuous parasite,0.5572,seemingly innocuous parasite,0.5453,parasite brilliantly,0.5338,parasite brilliantly dissect,0.5125,parasite,0.4944
5497707,Parasite,appeal movie genre,0.5609,movie genre,0.504,story ordinary bad,0.5007,metaphorical fail resonate,0.4889,bad appeal movie,0.4744
5474801,Parasite,watch korean movie,0.7355,korean movie try,0.7048,introduction korean movie,0.6994,korean cinema,0.6817,korean movie,0.6558
8604936,Parasite,trust oscar movie,0.6044,direction win oscar,0.6017,choose movie movie,0.5938,movie oscar,0.5874,oscar movie,0.5756
5402089,Parasite,good movie year,0.5251,movie year,0.4847,movie engaging feel,0.4633,movie year think,0.4584,funny playful movie,0.4509
5562991,Parasite,puzzled film oscar,0.5533,film oscar,0.5262,movie oscar,0.5256,movie oscar watch,0.5226,rich stupid director,0.5179
5879734,Parasite,movie establish humanistic,0.67,humanistic value depict,0.5793,human sin korean,0.5766,establish humanistic value,0.5284,humanistic value,0.5257
5689101,Parasite,deserve oscar winner,0.6227,truly deserve oscar,0.6149,oscar winner good,0.6054,movie engage thrill,0.5838,deserve oscar,0.5821
5619903,Parasite,tone comedy drama,0.5555,comedy drama,0.5381,comedy drama terror,0.5369,tone comedy,0.487,comedy tone insightful,0.4753
5473251,Parasite,film decade especially,0.5625,ask movie recommend,0.5576,movie recommend movie,0.5257,recommend movie,0.5169,movie recommend,0.5139
5206652,Parasite,dark comedy strange,0.7377,dark comedy question,0.7303,dark comedy,0.6989,badly dark comedy,0.6882,comedy strange movie,0.6779
8370505,Parasite,really enjoy movie,0.6243,act unique storyline,0.5941,enjoy movie want,0.587,enjoy movie,0.5802,watch great act,0.5641
7212564,Parasite,shawshank redemption godfather,0.6677,perfect shawshank redemption,0.6511,film perfect shawshank,0.638,shawshank redemption,0.6052,godfather angry menguess,0.5958
5068069,Parasite,idea movie beginning,0.5875,scene say genre,0.5867,genre movie deliver,0.5812,movie surprise new,0.5716,say genre movie,0.5706
6657588,Parasite,act mrs park,0.5319,inventive story fair,0.5235,inventive story,0.5058,mrs park exception,0.4947,mrs park,0.4837
6111922,Parasite,cool refresh haunting,0.6639,refresh haunting,0.6433,movie realizedit really,0.5933,kinda movie realizedit,0.533,haunting,0.4867
5477602,Parasite,kill girl jessica,0.8985,girl jessica,0.7173,kill girl,0.6918,jessica,0.63,kill,0.3953
5709645,Parasite,perfect film subjectively,0.6272,joker equally objective,0.6133,joker equally,0.5678,film subjectively,0.5571,film subjectively speak,0.547
7071309,Parasite,experience film subtitle,0.6846,subtitle dub definitely,0.6628,film subtitle dub,0.6578,film subtitle,0.6175,film highly recommend,0.6052
5413066,Parasite,scene slacker family,0.4981,try watch movie,0.4859,watch movie fade,0.4687,movie detailed fun,0.4632,family funny entertaining,0.4496
5558988,Parasite,hype film win,0.631,film oscar good,0.6072,hype film,0.5947,film oscar,0.5413,film win prestigious,0.5375
6971643,Parasite,parasite masterpiece decade,0.9007,parasite masterpiece,0.859,masterpiece decade excellent,0.6208,parasite,0.6035,masterpiece decade,0.5819
10266177,Parasite,movie expect,0.51,movie expect lot,0.5024,great movie expect,0.4848,watch movie hype,0.4736,long watch movie,0.4597
5657277,Parasite,dialogue parasite make,0.3924,witty dialogue parasite,0.3881,dialogue parasite,0.3676,story zen parablein,0.3346,film feel condescend,0.3318
9421473,Parasite,psychological force allegory,0.4918,explore hypocrisy prejudice,0.463,humility redemption reconciliationbut,0.4462,humility redemption,0.4368,explore hypocrisy,0.4354
5582893,Parasite,movie everythingi wish,0.9235,movie everythingi,0.8201,everythingi wish,0.7556,everythingi,0.6176,movie,0.4336
5489428,Parasite,good movie yearpolitical,0.7222,movie yearpolitical,0.6608,movie yearpolitical decision,0.6545,oscar good movie,0.6181,story line million,0.5992
5476557,Parasite,deserve competition movie,0.6578,watch oscar award,0.6509,watch oscar,0.6275,movie leave speechless,0.6235,time watch oscar,0.6145
